mysqld, Version: 5.7.28-log (MySQL Community Server (GPL)). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2020-11-23T13:19:32.898920Z	    5 Query	show fields from `help_topic`
2020-11-23T13:19:32.899208Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `help_topic`
2020-11-23T13:19:32.913002Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.913111Z	    5 Query	use `mysql`
2020-11-23T13:19:32.913210Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.913322Z	    5 Query	SHOW TRIGGERS LIKE 'help\_topic'
2020-11-23T13:19:32.913633Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.913738Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.913844Z	    5 Query	show table status like 'innodb\_index\_stats'
2020-11-23T13:19:32.917479Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.917554Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.917696Z	    5 Query	show create table `innodb_index_stats`
2020-11-23T13:19:32.917815Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.917956Z	    5 Query	show fields from `innodb_index_stats`
2020-11-23T13:19:32.918305Z	    5 Query	show fields from `innodb_index_stats`
2020-11-23T13:19:32.918646Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `innodb_index_stats`
2020-11-23T13:19:32.919151Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.919335Z	    5 Query	use `mysql`
2020-11-23T13:19:32.919434Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.919540Z	    5 Query	SHOW TRIGGERS LIKE 'innodb\_index\_stats'
2020-11-23T13:19:32.919807Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.919896Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.919992Z	    5 Query	show table status like 'innodb\_table\_stats'
2020-11-23T13:19:32.921686Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.921776Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.921865Z	    5 Query	show create table `innodb_table_stats`
2020-11-23T13:19:32.921971Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.922078Z	    5 Query	show fields from `innodb_table_stats`
2020-11-23T13:19:32.922328Z	    5 Query	show fields from `innodb_table_stats`
2020-11-23T13:19:32.922574Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `innodb_table_stats`
2020-11-23T13:19:32.922782Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.922876Z	    5 Query	use `mysql`
2020-11-23T13:19:32.923024Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.923137Z	    5 Query	SHOW TRIGGERS LIKE 'innodb\_table\_stats'
2020-11-23T13:19:32.923393Z	    5 Query	SET SESSION character_set_results = 'utf8'
